id,x,y,year,type,east_west,neighbourhood,district,node_label
1964657,13.313034562695215,52.500616418341856,1964,bus,west,Charlottenburg,Charlottenburg-Wilmersdorf,KurfÃ¼rstendamm Ecke Konstanzer Strasse
19641281,13.31417745809863,52.490390927187676,1964,bus,west,Wilmersdorf,Charlottenburg-Wilmersdorf,U-Bhf. Fehrbelliner Platz
1964256,13.320303638716377,52.47876002753526,1964,bus,west,Wilmersdorf,Charlottenburg-Wilmersdorf,Detmolder Strasse Ecke Blissestrasse
1964184,13.309473490660878,52.467219717443385,1964,bus,west,Dahlem,Steglitz-Zehlendorf,Breitenbachplatz
1964177,13.303436055459807,52.458598799471524,1964,bus,west,Dahlem,Steglitz-Zehlendorf,Botanischer Garten
1964888,13.287066614446184,52.45824694622199,1964,bus,west,Dahlem,Steglitz-Zehlendorf,Pacelli/Theilallee
1964236,13.274898269312029,52.46044681153186,1964,bus,west,Dahlem,Steglitz-Zehlendorf,Clayallee Ecke KÃ¶nigin-Luise-Strasse
19641300,13.270361987159156,52.450279005868815,1964,bus,west,Dahlem,Steglitz-Zehlendorf,U-Bhf. Oskar-Helene-Heim
1964928,13.260457172181738,52.43505825484917,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,Potsdamer Strasse Ecke Clayallee
1964985,13.259531923613192,52.433207520111885,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,Rathaus Zehlendorf
196498,13.273529095833517,52.40988367033843,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,Beeskowdamm Ecke Goerz Allee
19641415,13.305204497252257,52.41787520476881,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Wismarer Strasse Ecke Lindenstrasse
1964731,13.306660718895618,52.417547142375135,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Lindenstrasse Ecke MÃ¼llerstrasse
1964147,13.332362081097921,52.506232782829265,1964,bus,west,Charlottenburg,Charlottenburg-Wilmersdorf,Bhf. Zoo
19641179,13.3307628589775,52.4963190338576,1964,bus,west,Wilmersdorf,Charlottenburg-Wilmersdorf,Spichernstrasse Ecke Joachimstaler Strasse
1964111,13.33100210517226,52.48735367071187,1964,bus,west,Wilmersdorf,Charlottenburg-Wilmersdorf,Berliner Strasse Ecke Bundesallee
1964209,13.32860278411238,52.478678991134835,1964,bus,west,Wilmersdorf,Charlottenburg-Wilmersdorf,Bundesplatz
1964351,13.328362126543809,52.47128806242274,1964,bus,west,Friedenau,Tempelhof-Schöneberg,Friedrich-Wilhelm-Platz
19641108,13.326724826984016,52.4631173264433,1964,bus,west,Steglitz,Steglitz-Zehlendorf,SchloÃŸstrasse Ecke Feuerbachstrasse
1964105,13.33931462421719,52.45863817204511,1964,bus,west,Steglitz,Steglitz-Zehlendorf,Bergstrasse Ecke Bismarckstrasse
1964327,13.338927866545799,52.464513435475055,1964,bus,west,Steglitz,Steglitz-Zehlendorf,Feuerbachstrasse Ecke Bismarckstrasse
19641195,13.346670686507988,52.45003047744661,1964,bus,west,Steglitz,Steglitz-Zehlendorf,Steglitzer Damm Ecke Halske Strasse
1964706,13.338915879287914,52.44438797088069,1964,bus,west,Lankwitz,Steglitz-Zehlendorf,Leonorenstrasse Ecke Albrechstrasse
1964691,13.345745387354132,52.43629186979271,1964,bus,west,Lankwitz,Steglitz-Zehlendorf,"Lankwitz, Kirche"
1964465,13.3463631737626,52.43195312312966,1964,bus,west,Lankwitz,Steglitz-Zehlendorf,Havensteinstrasse Ecke Gallwitzstrasse
1964711,13.347598950875563,52.42568607125241,1964,bus,west,Lankwitz,Steglitz-Zehlendorf,Lerbacher Weg Ecke Tautenbergstrasse
19641269,13.346149658204126,52.41893958981137,1964,bus,west,Lankwitz,Steglitz-Zehlendorf,Trippsteinstrasse
19641414,13.262871381887154,52.439229231714734,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,Winifriedstrasse Ecke Clayallee
19641299,13.251272593463492,52.45007713385221,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,U-Bhf. Onkel-Toms-HÃ¼tte
19641293,13.24046555211665,52.44308074990891,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,U-Bhf. Krumme Lanke
1964136,13.229881678326638,52.43102570943782,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,Bhf. Lindenthaler Allee
1964103,13.22393270091056,52.429638035873005,1964,bus,west,Nikolassee,Steglitz-Zehlendorf,Benschallee Ecke Potsdamer Chaussee
19641110,13.212025866542618,52.433960489825,1964,bus,west,Nikolassee,Steglitz-Zehlendorf,Schopenhauer-Strasse Ecke Spanische Allee
1964176,13.185060134093185,52.42987973140939,1964,bus,west,Nikolassee,Steglitz-Zehlendorf,Borussenstrasse Ecke Kronprizessinnen Weg
196443,13.186661564435827,52.432202091928794,1964,bus,west,Nikolassee,Steglitz-Zehlendorf,Am Beelitzhof
1964144,13.17810256503659,52.42151302311533,1964,bus,west,Wannsee,Steglitz-Zehlendorf,Bhf. Wannsee
196448,13.167192967572669,52.420496581432594,1964,bus,west,Wannsee,Steglitz-Zehlendorf,Am GroÃŸen Wannsee Ecke KÃ¶nigstrasse
1964915,13.152988428835997,52.41888024334639,1964,bus,west,Wannsee,Steglitz-Zehlendorf,Pfaueninsel-Chaussee Ecke KÃ¶nigstrasse
1964984,13.148872492834737,52.418440129670444,1964,bus,west,Wannsee,Steglitz-Zehlendorf,Rathaus Wannsee
19641220,13.141644518533106,52.41240583089011,1964,bus,west,Wannsee,Steglitz-Zehlendorf,"StÃ¶lpchensee, Wilhelmplatz"
1964458,13.237065889883622,52.5468281751583,1964,bus,west,Haselhorst,Spandau,"Haselhorst, Kirche"
1964909,13.247126131065503,52.54415774195884,1964,bus,west,Haselhorst,Spandau,Paulsternstrasse
19641336,13.262285169635492,52.537063326963775,1964,bus,west,Siemensstadt,Spandau,Verwaltungs-GebÃ¤ude
19641173,13.280076964056246,52.51838420899177,1964,bus,west,Westend,Charlottenburg-Wilmersdorf,Spandauer Damm
19641290,13.28180313022396,52.50999451351762,1964,bus,west,Westend,Charlottenburg-Wilmersdorf,U-Bhf. Kaiserdamm
196462,13.297391449613752,52.50682617853116,1964,bus,west,Charlottenburg,Charlottenburg-Wilmersdorf,Amtsgericht
1964656,13.331254318798976,52.503834218422035,1964,bus,west,Charlottenburg,Charlottenburg-Wilmersdorf,KurfÃ¼rstendamm Ecke Joachimsthaler Strasse
1964485,13.290339505649852,52.49701780222877,1964,bus,west,Halensee,Charlottenburg-Wilmersdorf,Henriettenplatz
1964299,13.285507613099716,52.47977982878401,1964,bus,west,Schmargendorf,Charlottenburg-Wilmersdorf,Elsterplatz
1964537,13.290308772196097,52.47548162130776,1964,bus,west,Schmargendorf,Charlottenburg-Wilmersdorf,Hundekehlestrasse
1964671,13.287027476333241,52.45831794711095,1964,bus,west,Dahlem,Steglitz-Zehlendorf,KÃ¶nigin-Luise-Strasse
19641315,13.281736418792137,52.45104520805668,1964,bus,west,Dahlem,Steglitz-Zehlendorf,U-Bhf. Thielplatz
1964247,13.282699371472702,52.44179805042347,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,Dahlemer Weg
19641240,13.2604425311939,52.43504474561002,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,Teltower Damm
196499,13.251764544509987,52.42410894567823,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,Behring-Krankenhaus
1964741,13.251647735398342,52.40950895120702,1964,bus,west,Zehlendorf,Steglitz-Zehlendorf,Lupsteiner Weg
19641081,13.270922488527036,52.450918082089416,1964,bus,west,Dahlem,Steglitz-Zehlendorf,SaargemÃ¼nder Strasse
1964543,13.276355065531465,52.44831039409289,1964,bus,west,Dahlem,Steglitz-Zehlendorf,Ihnestrasse
1964241,13.284264679815902,52.446014012041694,1964,bus,west,Dahlem,Steglitz-Zehlendorf,Corrensplatz
19641328,13.29371363542892,52.44567489464425,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Unter den Eichen Ecke Habelschwerdter-Allee
1964135,13.295628699942629,52.44397675869793,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Bhf. Lichterfelde-West
19641011,13.300175076283422,52.439772810020266,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Ringstrasse
19641392,13.31180861060395,52.430495242672045,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Wiesenbaude
1964883,13.317503639070004,52.43080142626057,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,OstpreuÃŸendamm Ecke Wilhelmstrasse
1964783,13.321303543636025,52.42960010456386,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Marienstrasse
1964809,13.325491157001045,52.42808959398118,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Morgensternstrasse Ecke Wilhelmstrasse
1964645,13.326473583049795,52.427774762936416,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Kranoldplatz
1964689,13.32930239461037,52.42309131519768,1964,bus,west,Lichterfelde,Steglitz-Zehlendorf,Langestrasse
