source,target,label,type,year,frequency,east_west,capacity,distance,edge_type
1946448,1946450,41,strassenbahn,1946,15,unkown,195,1.6601217404598123,strassenbahn
1946448,1946450,141,strassenbahn,1946,15,unkown,195,1.6601217404598123,strassenbahn
1946588,1946149,23,strassenbahn,1946,10,both/unkown,195,0.06676672460706738,strassenbahn
1946583,1946586,4,strassenbahn,1946,7,both/unkown,195,0.20484068486839677,strassenbahn
1946586,194632,4,strassenbahn,1946,7,both/unkown,195,1.600279105579423,strassenbahn
194632,1946142,4,strassenbahn,1946,7,both/unkown,195,0.8658747014258414,strassenbahn
194632,1946152,65,strassenbahn,1946,10,unkown,195,0.4235351143897208,strassenbahn
194632,1946405,65,strassenbahn,1946,10,unkown,195,0.8598111889603022,strassenbahn
1946142,1946143,4,strassenbahn,1946,7,both/unkown,195,2.1498973024196393,strassenbahn
1946143,1946133,4,strassenbahn,1946,7,both/unkown,195,0.847105962076034,strassenbahn
1946133,194653,4,strassenbahn,1946,7,both/unkown,195,1.1336194550642844,strassenbahn
194653,1946536,4,strassenbahn,1946,7,both/unkown,195,0.288249417399314,strassenbahn
1946527,1946477,5,bus,1946,60,both/unkown,100,0.7875089905904503,bus
1946477,1946571,5,bus,1946,60,both/unkown,100,0.7184069191058292,bus
1946571,194647,5,bus,1946,60,both/unkown,100,1.6550706748782298,bus
1946482,1946355,6,strassenbahn,1946,12,both/unkown,195,0.6689541168018049,strassenbahn
1946355,194680,6,strassenbahn,1946,12,both/unkown,195,0.3699805534984744,strassenbahn
194680,1946465,6,strassenbahn,1946,12,both/unkown,195,0.8394968314308263,strassenbahn
1946465,194678,6,strassenbahn,1946,12,both/unkown,195,0.16336349054855692,strassenbahn
194678,1946553,6,strassenbahn,1946,12,both/unkown,195,0.5106143376919692,strassenbahn
1946553,1946134,6,strassenbahn,1946,12,both/unkown,195,0.8342776927527185,strassenbahn
1946134,1946135,6,strassenbahn,1946,12,both/unkown,195,0.4697281425044573,strassenbahn
1946135,1946178,6,strassenbahn,1946,12,both/unkown,195,2.2774364588959886,strassenbahn
1946178,1946187,6,strassenbahn,1946,12,both/unkown,195,0.016975837218065906,strassenbahn
1946187,1946336,6,strassenbahn,1946,12,both/unkown,195,1.1126672508181215,strassenbahn
